,Bankrupt?,ROA(A)_before_interest_and_%_after_tax,Persistent_EPS_in_the_Last_Four_Seasons,Per_Share_Net_profit_before_tax_(Yuan_¥),Debt_ratio_%,Net_worth/Assets,Borrowing_dependency,Net_profit_before_tax/Paid-in_capital,Net_Income_to_Total_Assets,Net_Income_to_Stockholder's_Equity
0,1,0.424389446140427,0.16914058806845003,0.13873616027717098,0.207576261450555,0.7924237385494449,0.39028435435925796,0.13775733353442401,0.7168453432178271,0.82789021403512
1,1,0.53821412996075,0.2089439349532,0.16991790314076996,0.171176346101521,0.828823653898479,0.37676001995155295,0.168961616770983,0.7952971360430351,0.839969268005573
2,1,0.499018752725687,0.18058050486905605,0.142803344128945,0.20751579647489202,0.792484203525108,0.379092920106557,0.14803559309252698,0.774669696989803,0.8367743085501741
3,1,0.451264718709115,0.19372222747470896,0.14860284702869597,0.151464764035432,0.848535235964567,0.37974268759939395,0.14756051579820498,0.739554525158061,0.834697106753341
4,1,0.5384321849105971,0.21253663609719198,0.16841153875122397,0.10650905463010499,0.893490945369894,0.37502544270303295,0.167460975793681,0.79501587263578,0.839972745788203
5,1,0.4151766245093761,0.174435095017491,0.13881147849664802,0.180427487377936,0.8195725126220641,0.38144818747302,0.137825201719327,0.7104204951009481,0.829938957445841
6,0,0.44570431748800704,0.161482461945731,0.128944791745123,0.216101823019016,0.7838981769809841,0.384998982291879,0.127939069451776,0.7366190976839391,0.829979763773696
7,0,0.570922372437854,0.22520563486810996,0.180462453867591,0.108202073948665,0.8917979260513349,0.3742191047299939,0.179518889978131,0.815350392476567,0.8414594397264821
8,0,0.545137374618404,0.21839841164791501,0.173156586578293,0.05859056141729901,0.941409438582701,0.37025339813860103,0.17215896237086198,0.8036472897921321,0.8404866330953491
9,0,0.550915830789359,0.21783114304623197,0.17662122467424898,0.121292741179672,0.878707258820328,0.374508760118367,0.175657944348088,0.804194656500343,0.840688177069564
10,0,0.5675425207152199,0.21896568024959803,0.17857949838065804,0.10357650331045698,0.896423496689543,0.374179962109944,0.17761103989141103,0.814110614307489,0.8413371291502709
11,0,0.549716528565198,0.20468942044057897,0.172478722602998,0.0943858270097046,0.905614172990295,0.373113046123427,0.171525525978433,0.804886952966321,0.8406497316227959
12,0,0.551569995638901,0.219343859317387,0.174286359870453,0.144662454273362,0.855337545726638,0.37730689827168606,0.173290098785914,0.803260160615522,0.8407024158772671
13,0,0.5333078935891851,0.212914815164981,0.168863448068088,0.106569519605768,0.8934304803942321,0.37315107038290396,0.167860643993666,0.794157852517078,0.839910496767797
14,0,0.57582860880942,0.226434716838423,0.17888077125856697,0.0896393264201711,0.9103606735798291,0.373692356900173,0.17792021717819198,0.8197153573061361,0.841623679912454
15,0,0.57108591365024,0.223787463363903,0.182420727574,0.0990718626235753,0.9009281373764251,0.3735447333045539,0.179828067264912,0.815418713855725,0.8413990499495492
16,0,0.560237679895334,0.220194762219911,0.176169315357385,0.0612812528342957,0.938718747165704,0.3722675655303379,0.175167785234899,0.810421134587852,0.8408889574437751
17,0,0.5904382904491929,0.23305285052472302,0.189274685546434,0.0787253983130272,0.921274601686973,0.37272497500464097,0.18828896764949898,0.8266420412017621,0.8419833217536591
18,0,0.559801569995639,0.220005672686017,0.17601867891842998,0.14133688061190602,0.8586631193880941,0.37870932243006294,0.17506221250282802,0.8062639145939221,0.840954675675957
19,0,0.543720017444396,0.21745296397844396,0.174512314528885,0.0774858663119388,0.9225141336880609,0.371230845279288,0.17353140788779098,0.802551849429409,0.840455976086351
20,0,0.545573484518099,0.219343859317387,0.176169315357385,0.0963509387187471,0.903649061281253,0.36963718146295005,0.17520548978206799,0.80463901213129,0.8406386130181059
21,0,0.564489751417357,0.225394724402004,0.181667545379227,0.10073464945430399,0.8992653505456959,0.371209596428404,0.18066510821204998,0.8140118827058042,0.8413114695233409
22,0,0.563672045355429,0.22322019476222002,0.177449725088499,0.14650663603107902,0.8534933639689208,0.377012769441021,0.17649498529522697,0.8089764271961841,0.841234473750761
23,0,0.548135630178805,0.21896568024959803,0.17383445055358898,0.19303443480364002,0.8069655651963601,0.38727596441823997,0.17286026694819398,0.7981036292603231,0.840325896066444
24,0,0.561382468382032,0.22189656802495997,0.17827822550274902,0.19451582670738,0.80548417329262,0.388057698458675,0.177309403514064,0.803444645412305,0.8410467450546201
25,0,0.5036524204099431,0.20355488323721302,0.16065376214506302,0.14674849593373002,0.85325150406627,0.377159274676067,0.159678757258125,0.772908884661082,0.8379256140070309
